mae,rmse,mape,r2,model,test_cell,n_train,n_test,feature_set
0.003499579532496531,0.004013755112217622,0.3734394752084046,0.9543010897543321,RandomForest,C,60,12,capacity_only
0.0036241796400749704,0.004132774739677917,0.3862025598897217,0.9515506930420077,GradientBoosting,C,60,12,capacity_only
0.0045693901211281696,0.005483495592811688,0.4828947755965698,0.943189988340763,LinearRegression,D,60,12,capacity_only
0.004497811954883764,0.005593408395928171,0.47489808605871664,0.9408897303070961,Ridge,D,60,12,capacity_only
0.004494224785390234,0.0052299172863704115,0.47796208663319256,0.9483227348962882,RandomForest,D,60,12,capacity_only
0.005291426366876638,0.0059410322577467065,0.562137792233511,0.933314148373021,GradientBoosting,D,60,12,capacity_only
0.0037692635706327027,0.005115674845216381,0.4052993624478558,0.9502010133626999,LinearRegression,E,60,12,capacity_only
0.0037965309804678937,0.005080502729215768,0.4092445418742697,0.9508834314469183,Ridge,E,60,12,capacity_only
0.004311365215994678,0.005076424936720187,0.46484381318022,0.9509622452204813,RandomForest,E,60,12,capacity_only
0.004394891098912178,0.0052043553881623026,0.47405000918087126,0.9484595114613839,GradientBoosting,E,60,12,capacity_only
0.0018784150375556568,0.0029677549016879057,0.20129797674525046,0.9861887233566969,LinearRegression,F,60,12,capacity_only
0.001918866516636401,0.00293224998333045,0.20637668694340594,0.9865172107085286,Ridge,F,60,12,capacity_only
0.002517380586172393,0.003023719778648887,0.27386059011025576,0.9856629155326891,RandomForest,F,60,12,capacity_only
0.0026423329549711363,0.0031297223043541002,0.28714485439668913,0.9846400651946496,GradientBoosting,F,60,12,capacity_only
0.0020844983910995873,0.002689427941996228,0.22179084012470934,0.9855684930745919,LinearRegression,A,60,12,capacity_with_delta
0.0020079092411049624,0.0025375358829399642,0.21383742511523252,0.9871525705572508,Ridge,A,60,12,capacity_with_delta
0.002462725733765945,0.0031121263891782237,0.26349433770534575,0.980675587069205,RandomForest,A,60,12,capacity_with_delta
0.0022159565954455542,0.0033888185494270755,0.2356881301382994,0.9770866553276705,GradientBoosting,A,60,12,capacity_with_delta
0.002913366103288425,0.003500525838685668,0.31645403993122284,0.9831588565173003,LinearRegression,B,60,12,capacity_with_delta
0.003023538595860955,0.0036541373120770777,0.3294820532542386,0.9816483665434994,Ridge,B,60,12,capacity_with_delta
0.003180902177270665,0.00362230483844417,0.34289486892214693,0.981966708931354,RandomForest,B,60,12,capacity_with_delta
0.0033886646855910605,0.0039656653547370455,0.3660800676930667,0.9783859014671781,GradientBoosting,B,60,12,capacity_with_delta
0.004428647846129341,0.004737825492802427,0.4712131096933522,0.936325987079973,LinearRegression,C,60,12,capacity_with_delta
0.00457609064766155,0.004833632825884852,0.486243594546248,0.9337247438433895,Ridge,C,60,12,capacity_with_delta
0.0040568763604425795,0.00467716453149326,0.4335999724740455,0.9379460551141987,RandomForest,C,60,12,capacity_with_delta
0.004404479008652512,0.005039997044971322,0.46984403817994363,0.9279449101589148,GradientBoosting,C,60,12,capacity_with_delta
0.004626587178342865,0.005408487229446394,0.48936803071478335,0.944733559012191,LinearRegression,D,60,12,capacity_with_delta
0.0046938332711838615,0.0055348609005271224,0.49560908917959046,0.9421206956584739,Ridge,D,60,12,capacity_with_delta
0.004264998434168878,0.004867684336289242,0.4537493565996256,0.9552333398377096,RandomForest,D,60,12,capacity_with_delta
0.004975053041777274,0.005651756651289935,0.5304756212631369,0.939650067447465,GradientBoosting,D,60,12,capacity_with_delta
0.0038508266199923,0.00479094518514863,0.413134908668964,0.9563225732665718,LinearRegression,E,60,12,capacity_with_delta
0.003882183185246385,0.00473085484850694,0.4174553420232374,0.9574113487514875,Ridge,E,60,12,capacity_with_delta
0.00391836534003832,0.004599963433056716,0.422319064026662,0.9597353991174223,RandomForest,E,60,12,capacity_with_delta
0.003899602063641594,0.004657008096427635,0.42134609230545716,0.9587305552424831,GradientBoosting,E,60,12,capacity_with_delta
0.0017430622164659366,0.002629463445935296,0.18648878678383352,0.9891579342175734,LinearRegression,F,60,12,capacity_with_delta
